han,puj,simple_puj,freq,phrase,phrase_puj,phrase_simple_puj
吵,tshau,tshau1,,,,
吶,na̍p,nap8,,,,
吸,khip,khip4,k10,,,
吹,tshue,tshue1,k10,,,
吻,but,but4,,,,
吼,háu,hau2,,,,
吾,ngô,ngo5,,,,
吾,û,u5,,,,
呀,ia,ia1,,,,
呀,iā,ia7,k00,,,
呂,lṳ̃,lur6,,,,
呃,oh,oh4,,拍呃,phah-oh,phah4-oh4
呅,bun,bun1,,貓呅笑,ba-bun-chhiè,ba1-bun1-chhie3
呆,ngâi,ngai5,,癡呆,chhi-ngâi,chhi1-ngai5
呆,tai,tai1,,,,
呈,thiâⁿ,thiann5,k10,呈現,thiâⁿ-hīn,thiann5-hin7
呈,tiâⁿ,tiann5,,呈文,tiâⁿ-bûn,tiann5-bun5
告,kàu,kau3,k00,,,
告,kò,ko3,k10,,,
呢,nē,ne7,,,,
呢,ni,ni1,k00,,,
呢,nî,ni5,,呢喃,ni5lâm,ni5lam5
呢,nî,ni5,,,,
周,chiu,chiu1,k11,周遊,chiu-iû,chiu1-iu5
周,chiu,chiu1,k11,圓周,îⁿ-chiu,inn5-chiu1
味,bī,bi7,k10,,,
呵,ho,ho1,,,,
呵,o,o1,,,,
呷,ah,ah4,,,,
呷,ap,ap4,,,,
呸,phái,phai2,,,,
呸,phúi,phui2,,,,
呻,sin,sin1,,,,
呼,hou,hou1,,,,
呼,hu,hu1,,,,
呼,khou,khou1,,,,
呼,u,u1,,,,
命,mẽng,meng6,k00,,,
命,miāⁿ,miann7,k01,,,
呾,tàⁿ,tann3,k00,,,
咀,tsu,tsu1,,,,
咄,tuah,tuah4,,咄,tuah,tuah4
咆,phâu,phau5,,,,
咋,tsà,tsa3,,,,
和,hõ,ho6,,,,
和,hû,hu5,,,,
和,huâ,hua5,k10,,,
和,hûe,hue5,,,,
咎,kiũ,kiu6,,,,
咐,hù,hu3,k10,,,
咒,chiù,chiu3,k10,,,
咔,khá,kha2,,,,
咕,ku,ku1,,,,
咖,ka,ka1,,,,
咖,kia,kia1,,,,
咧,li̍h,lih8,,,,
咩,meh,meh4,,咩咩叫,meh-meh-kiè,meh4-meh4-kie3
咪,mi,mi1,,,,
咬,kã,ka6,k10,,,
咯,khoh,khoh4,,,,
咯,kok,kok4,,,,
咯,lō,lo7,,,,
咱,nán,nan2,k02,,,
咱,tsa,tsa1,,,,
咳,hãi,hai6,,,,
咳,ka,ka1,,,,
咸,hâm,ham5,,,,
咽,in,in1,,咽喉,in-âu,in1-au5
咽,it,it4,,哽咽,kéⁿ-it,kenn2-it4
咾,ló,lo2,,呵咾,o-ló,o1-lo2
哀,ai,ai1,k11,,,
品,pín,pin2,k00,,,
哄,hong,hong1,,哄堂大笑,hong-thâng-tuā-chhiè,hong1-thang5-tua7-chhie3
哄,hóng,hong2,,哄騙,hóng-phièn,hong2-phien3
哄,hòng,hong3,,哄搶,hòng-chhiéⁿ,hong3-chhienn2
哆,to,to1,,,,
哇,ua,ua1,,,,
哇,uā,ua7,k00,,,
哈,ha,ha1,k00,,,
哈,hah,hah4,,,,
哈,kap,kap4,,,,
哉,tsāi,tsai7,,,,
哎,āi,ai7,k02,,,
員,uân,uan5,,,,
哥,ko,ko1,,,,
哦,ngô,ngo5,,,,
哦,õ,o6,k01,,,
哦,ō,o7,k00,,,
哨,sà,sa3,,,,
哨,sàu,sau3,,,,
哩,lí,li2,k22,,,
哩,lī,li7,k00,,,
哪,ná,na2,k21,,,
哪,nâ,na5,k22,,,
哪,nā,na7,k22,,,
哪,nō,no7,k01,,,
哭,khàu,khau3,k00,,,
哭,khok,khok4,,,,
哮,hau,hau1,,,,
哲,tiet,tiet4,k10,,,
哺,pōu,pou7,,,,
哺,pũ,pu6,,哺育,pũ-io̍k,pu6-iok8
哼,heng,heng1,,,,
哼,hng,hng1,,,,
哼,hńg,hng2,,,,
哽,kéⁿ,kenn2,,,,
唁,ngàn,ngan3,,,,
唆,so,so1,,,,
唉,ai,ai1,k02,,,
唏,hi,hi1,,歕唏噓,pûn-hi-hû,pun5-hi1-hu5
唐,thâng,thang5,,,,
唐,tn̂g,tng5,,,,
唔,m̃,m6,k00,,,
唚,chim,chim1,,唚,chim,chim1
唬,hôuⁿ,hounn5,,,,
售,chhiû,chhiu5,,,,
唯,zûi,zui5,k00,,,
唱,chhiàng,chhiang3,,唱和,chhiàng-huâ,chhiang3-hua5
唱,chhiè,chhie3,k00,唱歌,chhiè-kua,chhie3-kua1
唸,liām,liam7,k10,唸經,liām-keng,liam7-keng1
唾,thõ,tho6,,,,
啃,khéng,kheng2,,,,
啄,toh,toh4,,,,
商,siang,siang1,,,,
啉,lim,lim1,,啉,lim,lim1
啊,ã,a6,,,,
啊,ā,a7,k00,,,
啊,ō,o7,,,,
問,mn̄g,mng7,k00,,,
啓,khí,khi2,k10,,,
啜,tshueh,tshueh4,k10,,,
啞,é,e2,,,,
啡,hui,hui1,,,,
啡,phúi,phui2,k22,,,
啡,phùi,phui3,k22,,,
啤,pî,pi5,k10,,,
啥,sã,sa6,,,,
啦,la,la1,k00,,,
啪,phah,phah4,,,,
啱,ngam,ngam1,,,,
啼,thî,thi5,,,,
喀,kheh,kheh4,,,,
善,siẽn,sien6,,,,
喇,la,la1,,,,
喉,âu,au5,,,,
喊,hàm,ham3,k00,,,
喘,tshuán,tshuan2,,,,
喙,tshùi,tshui3,,,,
喚,huàn,huan3,,,,
喜,hí,hi2,k00,,,
喝,hak,hak4,,,,
喝,huah,huah4,,,,
喝,tuah,tuah4,,,,
喝,uah,uah4,,,,
喧,suan,suan1,,,,
喪,sàng,sang3,k10,,,
喪,sng,sng1,,,,
喫,khiet,khiet4,,,,
喫,ngiet,ngiet4,,,,
喬,khiâu,khiau5,,,,
單,siên,sien5,,,,
單,siẽn,sien6,,,,
單,tuaⁿ,tuann1,k00,單獨,tuaⁿ-to̍k,tuann1-tok8
喱,lî,li5,,咖喱末,ka-lî-bua̍h,ka1-li5-buah8
喲,iau,iau1,,,,
喲,ie,ie1,,,,
喳,tsa,tsa1,,,,
喳,tsha,tsha1,,,,
喻,zũ,zu6,k00,,,
嗅,hiùⁿ,hiunn3,,,,
嗆,chhiang,chhiang1,,,,
嗆,chhiáng,chhiang2,,,,
嗇,siap,siap4,,,,
嗎,má,ma2,k22,嗎啡,má-hui,ma2-hui1
嗎,mē,me7,k00,,,
嗒,tâ,ta5,,嘀嗒,ti-tâ,ti1-ta5
嗓,sáng,sang2,,,,
嗚,u,u1,,,,
嗜,sī,si7,,,,
嗡,ong,ong1,,,,
嗣,sṳ̃,sur6,,,,
嗶,pi,pi1,,,,
嗽,sàu,sau3,,,,
嘀,ti,ti1,,嘀嗒,ti-tâ,ti1-ta5
嘆,thàm,tham3,,,,
嘉,kia,kia1,,,,
嘎,khak,khak4,,,,
嘏,kóu,kou2,,,,
嘔,áu,au2,,,,
嘗,siâng,siang5,k11,嘗試,siâng-chhì,siang5-chhi3
嘗,siêⁿ,sienn5,k10,品嘗,pín-siêⁿ,pin2-sienn5
嘛,mā,ma7,,,,
嘯,sàu,sau3,,,,
嘲,chhiáu,chhiau2,,,,
嘴,tshùi,tshui3,k11,,,
嘶,soiⁿ,soinn1,,,,
嘶,sṳ,sur1,,,,
嘻,hi,hi1,,,,
嘿,he,he1,,,,
噎,it,it4,,,,
噓,hṳ,hur1,,,,
噠,that,that4,,竹篙噠,tek-ko-that,tek4-ko1-that4
噢,o,o1,,,,
噦,ueh,ueh4,,嘔噦,áu-ueh,au2-ueh4
器,khì,khi3,k00,,,
噩,nga̍k,ngak8,,,,
噪,tshàu,tshau3,,,,
噬,sī,si7,,,,
噴,phùn,phun3,,,,
噶,kuah,kuah4,,,,
噸,tun,tun1,,,,
噹,tang,tang1,k12,叮噹,teng-tang,teng1-tang1
嚇,heh,heh4,,,,
嚎,hâu,hau5,,,,
嚏,thì,thi3,,,,
嚐,siêⁿ,sienn5,k10,品嚐,pín-siêⁿ,pin2-sienn5
嚥,ièn,ien3,,吞嚥,thun-ièn,thun1-ien3
嚨,lêng,leng5,,,,
嚮,hiàng,hiang3,k10,嚮往,hiàng-uáng,hiang3-uang2
嚴,ngiâm,ngiam5,,,,
嚷,jiáng,jiang2,k10,,,
嚼,chiak,chiak4,,,,
囂,ngau,ngau1,,,,
囉,lô,lo5,k00,,,
囊,láng,lang2,,,,
囊,lông,long5,,,,
囑,tsok,tsok4,,,,
囚,chhiû,chhiu5,,,,
四,sì,si3,k00,,,
四,sṳ̀,sur3,,,,
囝,kiáⁿ,kiann2,k00,,,
回,hûe,hue5,k00,回頭,hûe-thâu,hue5-thau5
回,hui,hui1,,,,
囟,sìn,sin3,,,,
因,in,in1,k00,,,
囤,thûn,thun5,,,,
囤,tun,tun1,,,,
囥,khǹg,khng3,,,,
囪,tshong,tshong1,,,,
困,khùn,khun3,k00,困難,khùn-lân,khun3-lan5
固,kù,ku3,k10,,,
圃,phóu,phou2,,,,
圈,khuan,khuan1,k10,,,
國,kok,kok4,k10,,,
圍,ûi,ui5,k10,,,
園,hn̂g,hng5,,,,
圓,îⁿ,inn5,k00,,,
圖,thû,thu5,k00,,,
圖,tôu,tou5,k01,,,
團,thuân,thuan5,k00,團結,thuân-kat,thuan5-kat4
土,thóu,thou2,k00,,,
土,tõu,tou6,,,,
在,tõ,to6,k00,,,
在,tsãi,tsai6,,,,
圩,hṳ,hur1,,,,
圩,u,u1,,,,
圭,kui,kui1,,,,
地,tī,ti7,k00,地點,tī-tiám,ti7-tiam2
地,tò,to3,,,,
圳,tsǹg,tsng3,k10,,,
圾,khip,khip4,,,,
圿,koih,koih4,,垢圿,káu-koih,kau2-koih4
址,chí,chi2,k00,,,
均,kṳn,kurn1,k00,,,
坊,huang,huang1,,,,
坊,huáng,huang2,,,,
坍,tan,tan1,,,,
坍,than,than1,,,,
坎,khám,kham2,,,,
坐,tsõ,tso6,k00,,,
坑,kheⁿ,khenn1,,,,
坔,nàm,nam3,,坔塗,nàm-thôu,nam3-thou5
坡,po,po1,,,,
坤,khun,khun1,,,,
坦,thán,than2,,,,
坪,phêng,pheng5,,,,
坪,phiâⁿ,phiann5,,,,
坫,tiàm,tiam3,,,,
坯,phue,phue1,,,,
坳,au,au1,,,,
坷,kho,kho1,,,,
垂,sûi,sui5,k10,,,
垃,la,la1,,,,
垃,nah,nah4,k10,,,
型,hêng,heng5,k10,,,
垛,tô,to5,,,,
垢,káu,kau2,,,,
垢,kãu,kau6,,,,
垢,kòu,kou3,,,,
垣,huân,huan5,,,,
垮,khua,khua1,,,,
埂,kéⁿ,kenn2,,,,
埃,ai,ai1,,,,
埋,mâi,mai5,,,,
埋,muâ,mua5,,,,
城,siâⁿ,siann5,k10,,,
埔,pou,pou1,,,,
埕,tiâⁿ,tiann5,,灰埕,hue-tiâⁿ,hue1-tiann5
域,ho̍k,hok8,,,,
埠,pou,pou1,,,,
執,chip,chip4,k00,,,
培,pûe,pue5,k10,,,
基,ki,ki1,k00,,,
堂,thâng,thang5,k10,,,
堂,tn̂g,tng5,,,,
堅,kien,kien1,k10,,,
堆,pû,pu5,,做堆,tsò-pû,tso3-pu5
堆,tu,tu1,,,,
堆,tui,tui1,k10,,,
堆,tun,tun1,,,,
堡,páu,pau2,,,,
堤,toi,toi1,,,,
堪,kham,kham1,,,,
堯,ngiâu,ngiau5,,,,
堰,iám,iam2,,,,
報,pò,po3,k00,,,
場,chhiâng,chhiang5,,排場,pâi-chhiâng,pai5-chhiang5
場,tiêⁿ,tienn5,k00,場面,tiêⁿ-mīn,tienn5-min7
堵,tú,tu2,k10,,,
塊,kò,ko3,,,,
塌,thap,thap4,,,,
塌,tha̍p,thap8,,,,
塑,sok,sok4,,,,
塑,sù,su3,,,,
塑,suak,suak4,,,,
塔,thah,thah4,,,,
塗,thôu,thou5,k10,塗腳,thôu-kha,thou5-kha1
塗,thôu,thou5,k10,電塗,tiẽn-thôu,tien6-thou5
塗,thû,thu5,k10,塗改,thû-kói,thu5-koi2
塘,thâng,thang5,,,,
塘,tn̂g,tng5,,,,
塚,thóng,thong2,,義塚,ngĩ-thóng,ngi6-thong2
塞,sài,sai3,,,,
塞,sat,sat4,,,,
塞,thak,thak4,,,,
塢,ù,u3,,,,
填,thiên,thien5,k10,,,
塵,têng,teng5,,煙塵,in-têng,in1-teng5
塵,têng,teng5,,煙塵,eng-têng,eng1-teng5
塵,thûn,thun5,,筅塵,tshóiⁿ-thûn,tshoinn2-thun5
塵,tîn,tin5,k10,塵埃,tîn-ai,tin5-ai1
塹,chiãm,chiam6,,,,
境,kéng,keng2,k10,,,
墅,sú,su2,,,,
墊,tiẽn,tien6,,,,
墒,siang,siang1,,,,
墓,mõ,mo6,,,,
墘,kîⁿ,kinn5,k00,海墘,hái-kîⁿ,hai2-kinn5
墜,tũi,tui6,,,,
增,cheng,cheng1,k00,,,
墟,hṳ,hur1,,,,
墨,ba̍k,bak8,,,,
墩,tun,tun1,,,,
墮,tũi,tui6,,,,
墳,phûn,phun5,,,,
墾,khún,khun2,,,,
壁,piah,piah4,,,,
壅,èng,eng3,,,,
壇,thâm,tham5,,文壇,bûn-thâm,bun5-tham5
壇,tuâⁿ,tuann5,,天壇,thiⁿ-tuâⁿ,thinn1-tuann5
壑,hak,hak4,,,,
壓,iap,iap4,,,,
壓,teh,teh4,k10,,,
壕,hâu,hau5,,,,
壘,lúi,lui2,,,,
壞,huãi,huai6,,,,
壞,phue,phue1,,,,
壞,pui,pui1,,,,
壟,léng,leng2,,,,
壟,lóng,long2,,,,
壤,jiáng,jiang2,,,,
壩,pà,pa3,,,,
士,sṳ̃,sur6,,,,
壬,jĩm,jim6,,,,
壯,tsàng,tsang3,,,,
壹,che̍k,chek8,k10,,,
壺,hû,hu5,,,,
壽,siū,siu7,,,,
夏,hē,he7,k10,,,
夕,sek,sek4,,,,
外,guā,gua7,k00,,,
夗,ĩⁿ,inn6,k00,,,
夗,u̍t,ut8,k01,,,
夙,sok,sok4,,,,
多,to,to1,k10,,,
夜,iā,ia7,,,,
夜,mê,me5,,,,
夠,kàu,kau3,,,,
夠,kòu,kou3,k00,,,
夢,māng,mang7,k00,,,
夥,húe,hue2,k10,夥伴,húe-phuãⁿ,hue2-phuann6
大,ta,ta1,,大官,ta-kuaⁿ,ta1-kuann1
大,tãi,tai6,k00,大人,tãi-jîn,tai6-jin5
大,tãi,tai6,k00,大約,tãi-ieh,tai6-ieh4
大,tuā,tua7,k00,大儂,tuā--nâng,tua7--nang5
大,tuā,tua7,k00,大官,tuā-kuaⁿ,tua7-kuann1
天,thien,thien1,,,,
天,thiⁿ,thinn1,k00,,,
太,thài,thai3,k00,,,
夫,hu,hu1,k10,,,
夫,hū,hu7,,,,
夫,pou,pou1,k11,,,
夭,iau,iau1,,,,
央,iang,iang1,k00,,,
夯,háng,hang2,,,,
夯,pùn,pun3,,,,
失,sit,sit4,k00,,,
夷,î,i5,,,,
夸,khua,khua1,,夸父,khua-hũ,khua1-hu6
夾,kia̍p,kiap8,k10,,,
夾,koih,koih4,,,,
夾,ko̍ih,koih8,,,,
奄,iam,iam1,,,,
奇,khî,khi5,k00,,,
奇,khia,khia1,,,,
奇,ki,ki1,,,,
奈,nãi,nai6,k10,,,
奉,hõng,hong6,,,,
奎,kui,kui1,,,,
奏,tsàu,tsau3,,,,
契,khiet,khiet4,,,,
契,khòi,khoi3,k10,,,
契,siet,siet4,,,,
奔,pun,pun1,,,,
奕,e̍k,ek8,,,,
套,thàu,thau3,k10,,,
奠,tiẽn,tien6,,,,
奢,chhia,chhia1,,,,
奧,ò,o3,k10,,,
奩,liâm,liam5,,裝奩,tsng-liâm,tsng1-liam5
奪,to̍h,toh8,,,,
奮,hùn,hun3,,,,
女,ní,ni2,,,,
女,nńg,nng2,k00,,,
女,zṳ̃,zur6,,,,
奴,nou,nou1,,,,
奴,nôu,nou5,k00,,,
奶,nái,nai2,k10,,,
奶,ni,ni1,,,,
奶,nĩ,ni6,,,,
奸,kan,kan1,,奸臣,kan-chhîn,kan1-chhin5
她,tha,tha1,,,,
好,háu,hau2,,,,
好,hàuⁿ,haunn3,,,,
好,hó,ho2,k00,,,
好,hō,ho7,,,,
如,zû,zu5,k00,,,
妃,hui,hui1,,,,
妄,buáng,buang2,,,,
妊,jĩm,jim6,,,,
妍,ngiên,ngien5,k10,,,
妒,kòu,kou3,,,,
妓,kĩ,ki6,,,,
妖,iau,iau1,,,,
妗,kĩm,kim6,,,,
妙,miãu,miau6,k10,,,
妝,tsuang,tsuang1,,,,
妞,niú,niu2,,,,
妥,thó,tho2,,,,
妨,huâng,huang5,k10,,,
妮,nî,ni5,,,,
妹,mũe,mue6,k00,,,
妻,chhi,chhi1,k10,,,
姆,ḿ,m2,,,,
姊,chí,chi2,,,,
始,sí,si2,k00,,,
姐,ché,che2,k00,,,
姐,chiá,chia2,,翁姐,ang-chiá,ang1-chia2
姑,kou,kou1,k00,,,
姓,sèⁿ,senn3,k00,,,
委,úi,ui2,,,,
姚,iê,ie5,,,,
姜,kiang,kiang1,,姜子牙,kiang tsṳ́-gê,kiang1 tsur2-ge5
姥,láu,lau2,,,,
姥,ḿ,m2,,,,
姦,kan,kan1,,強姦,khiâng-kan,khiang5-kan1
姨,î,i5,k00,,,
姪,tie̍t,tiet8,,姪女,tie̍t-nńg,tiet8-nng2
姬,ki,ki1,,,,
姻,in,in1,,,,
姿,tsṳ,tsur1,k00,,,
威,ui,ui1,k10,,,
娃,ua,ua1,,,,
娘,niâng,niang5,,,,
娘,niêⁿ,nienn5,k00,,,
娛,û,u5,k10,,,
娜,nô,no5,,,,
娟,kien,kien1,,,,
娠,sîn,sin5,,,,
娥,ngô,ngo5,,,,
娩,mién,mien2,,,,
娶,tshú,tshu2,,,,
娶,tshuā,tshua7,k10,,,
婁,lû,lu5,,,,
婆,phuâ,phua5,k00,,,
婆,pô,po5,,,,
婉,uán,uan2,,,,
婚,hun,hun1,k10,,,
婦,hũ,hu6,k00,,,
婦,pũ,pu6,,,,
婪,lâm,lam5,,,,
婷,têng,teng5,,,,
婷,thêng,theng5,,,,
婿,sài,sai3,,,,
媒,bûe,bue5,k10,,,
媚,mĩ,mi6,,,,
媧,o,o1,,,,
媳,sek,sek4,,,,
媽,ma,ma1,k00,,,
媽,má,ma2,k01,媽祖,má-tsóu,ma2-tsou2
嫁,kè,ke3,,,,
嫂,sáu,sau2,,,,
嫂,só,so2,,,,
嫉,chi̍p,chip8,,,,
嫋,niáu,niau2,,,,
嫌,hiâm,hiam5,k10,,,
嫡,tek,tek4,,,,
嫡,tiah,tiah4,,,,
嫣,ien,ien1,,,,
嫦,siâng,siang5,,,,
嫩,lùn,lun3,,,,
嬌,kiau,kiau1,,,,
嬭,ni,ni1,,阿嬭,a-ni,a1-ni1
嬰,eng,eng1,,,,
嬸,sím,sim2,,,,
子,chí,chi2,,,,
子,tsṳ́,tsur2,k00,,,
孑,khiet,khiet4,,,,
孔,khóng,khong2,k10,,,
孕,hẽng,heng6,,,,
字,jī,ji7,k00,,,
字,zṳ̃,zur6,,,,
存,tshûn,tshun5,k00,,,
孚,hu,hu1,,,,
孜,tsṳ,tsur1,,,,
孝,hà,ha3,,,,
孝,hàu,hau3,k10,,,
孟,mẽng,meng6,,,,
孢,pau,pau1,,,,
季,khùi,khui3,k00,,,
孤,kou,kou1,k10,,,
孤,ku,ku1,,,,
孥,nôu,nou5,k00,,,
孩,hâi,hai5,,,,
孩,hãi,hai6,,,,
孫,sun,sun1,k10,,,
孬,mó,mo2,k00,,,
孬,nau,nau1,,,,
孰,so̍k,sok8,,,,
孱,tshan,tshan1,,,,
孳,tsṳ,tsur1,,,,
孵,hu,hu1,,,,
孵,pū,pu7,,孵卵,pū-nñg,pu7-nng6
學,ha̍k,hak8,k00,,,
學,o̍h,oh8,k01,,,
孺,zû,zu5,,,,
孽,ngia̍p,ngiap8,,,,
孿,luân,luan5,,,,
它,tha,tha1,,,,
宅,the̍h,theh8,,,,
宇,ú,u2,k10,,,
守,siú,siu2,k10,,,
安,an,an1,k11,平安,phêng-an,pheng5-an1
安,uaⁿ,uann1,k11,安心,uaⁿ-sim,uann1-sim1
宋,sòng,song3,,,,
完,uân,uan5,k00,,,
宏,hông,hong5,,,,
宕,tãng,tang6,,,,
宗,tsong,tsong1,,,,
官,kuaⁿ,kuann1,k10,,,
宙,tiũ,tiu6,k10,,,
定,tẽng,teng6,,,,
定,tiāⁿ,tiann7,k00,,,
宛,uán,uan2,,,,
宜,ngî,ngi5,k10,,,
客,kheh,kheh4,k00,,,
宣,suan,suan1,k10,,,
室,sit,sit4,k00,,,
宦,huãn,huan6,,,,
宮,keng,keng1,,,,
宰,tsái,tsai2,,,,
害,hāi,hai7,k10,,,
宴,àn,an3,,,,
宵,siau,siau1,,,,
家,ka,ka1,k01,家己,ka-kī,ka1-ki7
家,ke,ke1,k00,人家,nâng-ke,nang5-ke1
家,khia,khia1,k10,私家,sai-khia,sai1-khia1
容,iông,iong5,k00,,,
宿,siau,siau1,,,,
宿,siù,siu3,,,,
宿,suah,suah4,,,,
寂,sok,sok4,,,,
寄,kià,kia3,k10,,,
寅,în,in5,,,,
密,ba̍t,bat8,,,,
密,mi̍t,mit8,k10,,,
寇,khàu,khau3,,,,
寇,khòu,khou3,,,,
富,pù,pu3,k10,,,
寐,mũe,mue6,,,,
寒,hân,han5,k00,,,
寒,kuâⁿ,kuann5,k01,,,
寓,ngõ,ngo6,,,,
寞,mo̍k,mok8,k10,,,
察,tshat,tshat4,k10,,,
寡,kuá,kua2,,,,
寢,chhím,chhim2,,,,
寤,ngõ,ngo6,,,,
寥,liâu,liau5,,,,
實,si̍t,sit8,k00,,,
實,tsa̍t,tsat8,,,,
寧,lêng,leng5,k00,,,
寨,chē,che7,,,,
審,sím,sim2,,,,
寫,siá,sia2,k00,,,
寬,khuan,khuan1,k00,,,
寬,khuàⁿ,khuann3,k01,,,
寮,liâu,liau5,,,,
寵,thóng,thong2,,,,
寶,pó,po2,k00,,,
寸,tshùn,tshun3,k00,,,
寺,jī,ji7,,,,
封,hong,hong1,,,,
封,huang,huang1,,,,
射,siā,sia7,k10,,,
將,chiang,chiang1,k00,,,
將,chiàng,chiang3,,,,
專,tsuan,tsuan1,k00,,,
尉,ùe,ue3,,,,
尉,ut,ut4,,,,
尊,tsun,tsun1,k10,,,
尋,chhîm,chhim5,k00,,,
尋,chhîⁿ,chhinn5,,,,
尋,siâm,siam5,,,,
對,tùi,tui3,k00,,,
導,tãu,tau6,k10,,,
小,siáu,siau2,k00,,,
小,sié,sie2,k01,,,
少,chié,chie2,k01,,,
少,siàu,siau3,k00,,,
尖,chiam,chiam1,k10,,,
尙,siãng,siang6,,尙且,siãng-chhiáⁿ,siang6-chhiann2
尙,sièⁿ,sienn3,,和尙,hûe-sièⁿ,hue5-sienn3
尚,siãng,siang6,,,,
尚,siēⁿ,sienn7,,,,
尤,iû,iu5,k00,,,
尪,ang,ang1,,畫尪囝,ūe-ang-kiáⁿ,ue7-ang1-kiann2
尬,kài,kai3,,,,
就,chiũ,chiu6,k00,,,
尷,kàm,kam3,,,,
尸,si,si1,k22,尸位素餐,si-ūi-sù-tshan,si1-ui7-su3-tshan1
尹,ṳ́n,urn2,,,,
尺,chhe,chhe1,,,,
尺,chhieh,chhieh4,k00,寸尺,tshùn-chhieh,tshun3-chhieh4
尻,ka,ka1,,尻脊,ka-chiah,ka1-chiah4
尻,kha,kha1,k10,尻川,kha-tshng,kha1-tshng1
尼,nî,ni5,,,,
尾,búe,bue2,k00,,,
尿,jiē,jie7,k10,,,
局,ke̍k,kek8,k10,,,
屁,phĩ,phi6,,,,
屁,phùi,phui3,k10,,,
居,kṳ,kur1,k00,,,
屆,kài,kai3,,,,
屈,khut,khut4,k10,,,
屋,ok,ok4,k10,,,
屍,si,si1,k12,屍體,si-thí,si1-thi2
屎,sái,sai2,,,,
屏,phîn,phin5,,,,
屏,pín,pin2,,,,
屐,kia̍h,kiah8,,,,
屑,siak,siak4,,,,
屑,sut,sut4,,,,
展,tién,tien2,k00,,,
屙,o,o1,,,,
屜,thì,thi3,,,,
屠,tôu,tou5,,,,
屢,lú,lu2,,,,
層,tsân,tsan5,k10,,,
履,lí,li2,,,,
屬,so̍k,sok8,k00,,,
屬,tsok,tsok4,,,,
屯,thûn,thun5,,,,
屯,tun,tun1,,,,
山,san,san1,,,,
山,suaⁿ,suann1,k00,,,
屹,ngṳt,ngurt4,,,,
岐,ki,ki1,,,,
岔,chhe,chhe1,,,,
岔,tsha,tsha1,,,,
岡,kang,kang1,,,,
岣,kóu,kou2,,嶁岣,lóu-kóu,lou2-kou2
岫,siū,siu7,,,,
岳,nga̍k,ngak8,k11,岳父,nga̍k-pẽ,ngak8-pe6
岸,ngãi,ngai6,,,,
峇,bā,ba7,,,,
峙,sĩ,si6,,,,
峙,sṳ̃,sur6,,,,
峨,ngô,ngo5,,,,
峪,io̍k,iok8,,,,
峪,kok,kok4,,,,
峭,chhiáu,chhiau2,,,,
峯,hong,hong1,,,,
島,táu,tau2,k10,,,
峻,tsùn,tsun3,,,,
峽,ha̍p,hap8,,,,
峽,kiap,kiap4,,,,
崇,tshông,tshong5,,,,
崎,khi,khi1,,,,
崑,khun,khun1,,崑崙,khun-lûn,khun1-lun5
崔,tshui,tshui1,,,,
崖,ngâi,ngai5,,,,
崗,kang,kang1,,,,
崗,kng,kng1,,,,
崙,lûn,lun5,,崙崙,lûn-lûn,lun5-lun5
崩,pang,pang1,k10,,,
嵁,khâm,kham5,,嵁硈,khâm-khia̍t,kham5-khiat8
嵇,ki,ki1,,,,
嵋,bâi,bai5,,,,
嵌,khám,kham2,,,,
嵩,sông,song5,,,,
嶁,lóu,lou2,,嶁岣,lóu-kóu,lou2-kou2
嶂,chiàng,chiang3,,,,
嶄,tsám,tsam2,,,,
嶇,khu,khu1,,崎嶇,khi-khu,khi1-khu1
嶺,niáⁿ,niann2,,,,
嶼,sṳ̃,sur6,,,,
嶽,nga̍k,ngak8,k10,山嶽,suaⁿ-nga̍k,suann1-ngak8
巋,khui,khui1,,,,
巍,ngûiⁿ,nguinn5,,,,
巒,luân,luan5,,,,
巔,tien,tien1,k10,,,
巖,ngâm,ngam5,,,,
川,tshng,tshng1,,尻川,kha-tshng,kha1-tshng1
川,tshuan,tshuan1,k10,山川,suaⁿ-tshuan,suann1-tshuan1
州,chiu,chiu1,k00,,,
巡,sûn,sun5,k10,,,
巢,tshâu,tshau5,,,,
工,kang,kang1,k00,,,
工,khang,khang1,,,,
工,kong,kong1,,,,
左,tsó,tso2,k00,,,
巧,khá,kha2,k00,,,
巧,khiáu,khiau2,,,,
巨,kṳ̃,kur6,k10,,,
巫,bû,bu5,,,,
差,chhe,chhe1,,官差,kuaⁿ-chhe,kuann1-chhe1
差,chhi,chhi1,,參差,tsham-chhi,tsham1-chhi1
差,tsha,tsha1,k10,差錯,tsha-tshò,tsha1-tsho3
己,kí,ki2,k00,,,
己,kī,ki7,k01,,,
已,íⁿ,inn2,k00,,,
巳,chĩ,chi6,,,,
巴,pa,pa1,k00,,,
巷,hāng,hang7,,,,
巾,kṳn,kurn1,,,,
市,chhĩ,chhi6,,,,
布,pòu,pou3,k10,布料,pòu-liāu,pou3-liau7
帆,phâng,phang5,k10,,,
希,hi,hi1,k00,,,
帑,tháng,thang2,,,,
帕,phè,phe3,,,,
帖,thiap,thiap4,,,,
帘,liâm,liam5,,酒帘,chiú-liâm,chiu2-liam5
帚,siú,siu2,,,,
帛,pe̍h,peh8,,,,
帝,tì,ti3,,,,
帥,sùe,sue3,,,,
帥,tsut,tsut4,,,,
師,sai,sai1,,,,
師,sṳ,sur1,k10,,,
席,chhie̍h,chhieh8,k01,,,
